last time,'2017-08-08 09:07:38,UTC/GMT+02:00,now time,'2017-08-08 09:26:16,UTC/GMT+02:00
name,race,type,wins,all,win rate,rank
Andrew Smith,Protoss,AI_MODULE,1,2,50.00%,22
Antiga,Zerg,AI_MODULE,1,1,100.00%,20
Aurelien Lermant,Zerg,JAVA_JNI,1,1,100.00%,52
AyyyLmao,Protoss,JAVA_JNI,0,1,0.00%,63
Bereaver,Protoss,EXE,0,1,0.00%,4
Bjorn P Mattsson,Zerg,JAVA_MIRROR,1,1,100.00%,75
Black Crow,Zerg,EXE,1,1,100.00%,31
DAIDOES,Protoss,AI_MODULE,0,3,0.00%,53
Dawid Loranc,Zerg,JAVA_MIRROR,2,2,100.00%,36
ICELab,Terran,AI_MODULE,0,1,0.00%,35
Jakub Trancik,Protoss,AI_MODULE,0,1,0.00%,44
Johan Kayser,Terran,AI_MODULE,1,1,100.00%,67
Kruecke,Terran,AI_MODULE,2,2,100.00%,70
Lukas Moravec,Protoss,AI_MODULE,0,2,0.00%,45
Marian Devecka,Zerg,AI_MODULE,1,1,100.00%,5
Marine Hell,Terran,JAVA_MIRROR,2,2,100.00%,64
MegaBot,Protoss,AI_MODULE,0,1,0.00%,27
Microwave,Zerg,AI_MODULE,0,1,0.00%,19
OpprimoBot,Random,AI_MODULE,1,1,100.00%,71
Oyvind Johannessen,Random,JAVA_MIRROR,1,1,100.00%,59
PeregrineBot,Zerg,AI_MODULE,2,2,100.00%,40
PurpleCheese,Protoss,JAVA_MIRROR,0,1,0.00%,43
PurpleWave,Protoss,JAVA_MIRROR,6,6,100.00%,28
Randomhammer,Random,AI_MODULE,0,2,0.00%,17
Soeren Klett,Terran,JAVA_JNI,2,2,100.00%,51
Sparks,Terran,AI_MODULE,2,2,100.00%,66
Steamhammer,Zerg,AI_MODULE,0,1,0.00%,16
Stone,Terran,AI_MODULE,1,1,100.00%,32
TyrProtoss,Protoss,JAVA_MIRROR,1,3,33.33%,42
UPStarCraftAI 2016,Zerg,JAVA_MIRROR,1,1,100.00%,47
WOPR Z,Zerg,JAVA_MIRROR,3,3,100.00%,65
Zia bot,Zerg,AI_MODULE,2,2,100.00%,38
ZurZurZur,Zerg,JAVA_MIRROR,0,2,0.00%,23
krasi0,Terran,EXE,0,4,0.00%,1
zLyfe,Zerg,AI_MODULE,1,1,100.00%,50
zhandong,Zerg,AI_MODULE,1,1,100.00%,37
Sum,All,,37,61,60.66%,
Sum,Protoss,,8,21,38.10%,
Sum,Zerg,,17,21,80.95%,
Sum,Terran,,10,15,66.67%,
Sum,Random,,2,4,50.00%,
